domain,name,n_nodes,n_edges,H_20,H_40,H_60,H_80,H_100,seal_entropy,seal_auc,adamic_adar_entropy,adamic_adar_auc,newly_included
Biological,573f4b0f3d097b601f7bab26,155,744,0.8067729083665338,0.9065117535801134,0.9111408050776684,0.8714978448275863,0.8924180024295577,0.6148197135357193,0.9055195398100804,0.6276794964952295,0.8914581811541271,False
Biological,573f4b0f3d097b601f7bab27,179,705,0.8890005022601708,0.7785778577857786,0.8064279424713825,0.8221550855991944,0.8322147651006712,0.5477864513522376,0.9130576932749862,0.5659367689281551,0.8819978874302097,False
Biological,574fa888bd3e93b53c6954b1,297,2148,0.899840534588807,0.7897736524995929,0.7913626619992528,0.8440401505646173,0.8953597010277172,0.711922011926504,0.8901766454214006,0.7351345433573294,0.8524567895197267,True
Biological,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web,36,78,0.9473684210526316,0.9401709401709404,0.7150153217568948,0.6387096774193548,0.5755102040816327,0.375449493651825,0.9155555555555556,0.669052343747023,0.2666666666666666,False
Biological,Arroyo_plant-pollinator_web_Elevation_1,182,363,0.8172261783655477,0.9085746734809768,0.8307722811539605,0.8335807600950118,0.8133157837007787,0.6681247162534127,0.8852237654320989,0.8317062176051787,0.4722222222222222,False
Biological,Arroyo_plant-pollinator_web_Elevation_2,97,179,0.872210953346856,0.9594912859161564,0.9170709170709171,0.8981233243967829,0.8695095402740428,0.5917236512158845,0.8591836734693877,0.8164164341133904,0.4285714285714286,False
Biological,Arroyo_plant-pollinator_web_Elevation_3,65,85,0.9787234042553192,1.004985044865404,0.9133765468473778,0.7922392886014551,0.782635279730969,0.6310268012378403,0.7750865051903114,0.7113117939117964,0.4117647058823529,False
Biological,Barrett_Helenurm_plant-pollinator_web_Barrett_Helenurm_plant-pollinator_web,112,166,0.8368200836820084,0.6688341848583371,0.5335579893288401,0.4593707778421154,0.5179010658649905,0.3503482733873156,0.9710743801652892,0.7772548668686862,0.3484848484848485,False
Biological,Beehler_seed-disperser_web_Beehler_seed-disperser_web,40,119,0.9056603773584906,0.6619718309859155,0.5283911671924291,0.7323340471092077,0.7336220898754738,0.416187944643161,0.941398865784499,0.6791715107953454,0.1956521739130434,False
Biological,Binary_interactomes_various species_2012_A_thaliana_mustard_binary_hq,297,560,0.8715934200834765,0.8298342541436464,0.683949675943576,0.6034525156150101,0.61994522313517,0.5335272981905719,0.8626434948979592,0.7905594713823966,0.6023596938775511,False
Biological,Binary_interactomes_various species_2012_A_thaliana_mustard_binary_lc,297,560,0.8492822966507177,0.8281596452328159,0.691237192231228,0.6016108437285139,0.6200651003899578,0.5362497248665365,0.86328125,0.7815927895151563,0.6023596938775511,False
Biological,Binary_interactomes_various species_2012_A_thaliana_mustard_cocomp_hq,128,134,0.6025492468134415,0.1281024819855884,0.1276935355147645,0.2267224301122606,0.345553411682161,0.1860127132804979,0.9940828402366864,0.706483542767105,0.3069526627218935,False
Biological,Binary_interactomes_various species_2012_C_elegans_nematode_binary_lc,50,53,0.8849557522123893,1.047040971168437,0.8930232558139535,0.8268229166666667,0.7708665603402446,0.5268120382491202,0.62,0.629202967422018,0.4,False
Biological,Binary_interactomes_various species_2012_D_melanogaster_fly_cocomp_hq,26,56,1.0185185185185184,0.9428571428571428,0.8561020036429873,0.8690744920993229,0.7997481108312342,0.5047059358419745,0.7768595041322314,0.6891993665086772,0.6859504132231405,False
Biological,Binary_interactomes_various species_2012_E_coli_K12_binary_hq,32,37,0.96,0.99009900990099,0.9786476868327402,1.013986013986014,0.925925925925926,0.6304101590858295,0.7755102040816326,0.5320213197228486,0.5714285714285714,False
Biological,Binary_interactomes_various species_2012_E_coli_K12_binary_lc,32,37,1.04,1.0621761658031088,0.935374149659864,1.0171568627450982,0.9228187919463088,0.6304101590858295,0.7755102040816326,0.701838730514401,0.5714285714285714,False
Biological,Binary_interactomes_various species_2012_E_coli_K12_cocomp_hq,974,2299,0.835866656273547,0.8997641946196867,0.8444366010765022,0.837716554286288,0.8654326538768985,0.4754621705834769,0.8878707619576516,0.7989195334519628,0.662632131041717,False
Biological,Binary_interactomes_various species_2012_H_sapiens_human_binary_lc,3155,5648,0.90317287075525,0.9131205673758864,0.8259287291729307,0.7951419811952743,0.8088076469086617,0.2610698806254198,0.89708396324926,0.7843015096286464,0.6281384327037967,False
Biological,Binary_interactomes_various species_2012_M_musculus_mouse_binary_hq,705,1243,0.8600973901624993,0.8939110834297239,0.797444700360697,0.7639100152109519,0.770757853987791,0.6130188277257388,0.8134348985431842,0.806448943004662,0.580027315296566,False
