domain,name,n_nodes,n_edges,method,level,value,coarsen_seconds,n_nodes_reduced,n_edges_reduced
Biological,56e98770a6d70217090cdd80,332,412,variation_neighborhood,100,0.8757590977580932,0.0,332.0,412.0
Biological,56e98770a6d70217090cdd80,332,412,variation_neighborhood,80,0.88107202680067,0.4368947079999969,266.0,344.0
Biological,56e98770a6d70217090cdd80,332,412,variation_neighborhood,60,0.9242718446601942,0.261087916000001,201.0,261.0
Biological,56e98770a6d70217090cdd80,332,412,variation_neighborhood,40,0.9294342021614748,0.1618501250000008,133.0,175.0
Biological,56e98770a6d70217090cdd80,332,412,variation_neighborhood,20,0.9468934397778548,0.095711915999999,67.0,92.0
Biological,56e98770a6d70217090cdd80,332,412,variation_edges,100,0.8727702948671278,0.0,332.0,412.0
Biological,56e98770a6d70217090cdd80,332,412,variation_edges,80,0.8897041962852557,0.3697344579999999,266.0,343.0
Biological,56e98770a6d70217090cdd80,332,412,variation_edges,60,0.905100167611142,0.2380354999999987,200.0,255.0
Biological,56e98770a6d70217090cdd80,332,412,variation_edges,40,0.9262709608730372,0.121348790999999,133.0,168.0
Biological,56e98770a6d70217090cdd80,332,412,variation_edges,20,0.9363944298080542,0.0490740840000007,67.0,84.0
Biological,Clements_Long_plant-pollinator_web_Clements_Long_plant-pollinator_web,361,918,variation_neighborhood,100,0.7869674185463659,0.0,361.0,918.0
Biological,Clements_Long_plant-pollinator_web_Clements_Long_plant-pollinator_web,361,918,variation_neighborhood,80,0.7458377442017131,0.7288530829999971,289.0,742.0
Biological,Clements_Long_plant-pollinator_web_Clements_Long_plant-pollinator_web,361,918,variation_neighborhood,60,0.6873679919961463,0.4672708750000005,217.0,515.0
Biological,Clements_Long_plant-pollinator_web_Clements_Long_plant-pollinator_web,361,918,variation_neighborhood,40,0.7225536688593137,0.2921844999999976,145.0,413.0
Biological,Clements_Long_plant-pollinator_web_Clements_Long_plant-pollinator_web,361,918,variation_neighborhood,20,0.8232105210320249,0.1261152909999978,74.0,263.0
Biological,Clements_Long_plant-pollinator_web_Clements_Long_plant-pollinator_web,361,918,variation_edges,100,0.791907190494872,0.0,361.0,918.0
Biological,Clements_Long_plant-pollinator_web_Clements_Long_plant-pollinator_web,361,918,variation_edges,80,0.8256565526423157,0.7697548330000004,289.0,834.0
Biological,Clements_Long_plant-pollinator_web_Clements_Long_plant-pollinator_web,361,918,variation_edges,60,0.7982385412144142,0.421118959000001,217.0,619.0
Biological,Clements_Long_plant-pollinator_web_Clements_Long_plant-pollinator_web,361,918,variation_edges,40,0.6714383094751193,0.1958601249999993,145.0,309.0
Biological,Clements_Long_plant-pollinator_web_Clements_Long_plant-pollinator_web,361,918,variation_edges,20,0.2219026094103143,0.1005456250000023,97.0,117.0
Biological,56e9e0d7a6d70217090cdfef,598,1425,variation_neighborhood,100,0.7674776179623349,0.0,598.0,1425.0
Biological,56e9e0d7a6d70217090cdfef,598,1425,variation_neighborhood,80,0.7611940298507462,2.044321249999999,480.0,1152.0
Biological,56e9e0d7a6d70217090cdfef,598,1425,variation_neighborhood,60,0.7402659830155425,1.2487559579999967,360.0,960.0
Biological,56e9e0d7a6d70217090cdfef,598,1425,variation_neighborhood,40,0.7564211120519333,0.7464034159999997,240.0,803.0
Biological,56e9e0d7a6d70217090cdfef,598,1425,variation_neighborhood,20,0.6908094948265369,0.3666142080000014,120.0,366.0
Biological,56e9e0d7a6d70217090cdfef,598,1425,variation_edges,100,0.7700387317009125,0.0,598.0,1425.0
Biological,56e9e0d7a6d70217090cdfef,598,1425,variation_edges,80,0.7527472527472527,1.949015750000001,479.0,1266.0
Biological,56e9e0d7a6d70217090cdfef,598,1425,variation_edges,60,0.7453743333113847,1.2949363330000023,359.0,1043.0
Biological,56e9e0d7a6d70217090cdfef,598,1425,variation_edges,40,0.7359751670964028,0.6195194169999994,240.0,749.0
Biological,56e9e0d7a6d70217090cdfef,598,1425,variation_edges,20,0.6664350243224462,0.2556329579999996,120.0,317.0
Biological,C_elegans_interactomes_2009_Genetic,683,1543,variation_neighborhood,100,0.792771728900205,0.0,683.0,1543.0
Biological,C_elegans_interactomes_2009_Genetic,683,1543,variation_neighborhood,80,0.7729251649763607,2.2681402499999948,547.0,1265.0
Biological,C_elegans_interactomes_2009_Genetic,683,1543,variation_neighborhood,60,0.7975065640237913,1.491592040999997,410.0,940.0
Biological,C_elegans_interactomes_2009_Genetic,683,1543,variation_neighborhood,40,0.8765271894816737,0.802384625000002,275.0,741.0
Biological,C_elegans_interactomes_2009_Genetic,683,1543,variation_neighborhood,20,0.8860692008316895,0.3617727919999964,137.0,402.0
Biological,C_elegans_interactomes_2009_Genetic,683,1543,variation_edges,100,0.7923399873257287,0.0,683.0,1543.0
Biological,C_elegans_interactomes_2009_Genetic,683,1543,variation_edges,80,0.8090778377958264,2.237653917000003,547.0,1225.0
Biological,C_elegans_interactomes_2009_Genetic,683,1543,variation_edges,60,0.8029158982567243,1.405232374999997,410.0,960.0
Biological,C_elegans_interactomes_2009_Genetic,683,1543,variation_edges,40,0.8217643764553306,0.6224720409999946,274.0,617.0
Biological,C_elegans_interactomes_2009_Genetic,683,1543,variation_edges,20,0.7405626352488579,0.2484431249999943,137.0,262.0
Biological,56e9e0d7a6d70217090cdfe0,783,1986,variation_neighborhood,100,0.7752251341822183,0.0,783.0,1986.0
Biological,56e9e0d7a6d70217090cdfe0,783,1986,variation_neighborhood,80,0.7170563911150145,3.342566665999996,627.0,1690.0
Biological,56e9e0d7a6d70217090cdfe0,783,1986,variation_neighborhood,60,0.7010271077710488,2.125298041999997,470.0,1409.0
Biological,56e9e0d7a6d70217090cdfe0,783,1986,variation_neighborhood,40,0.7394766780432309,1.1502182079999983,314.0,1144.0
Biological,56e9e0d7a6d70217090cdfe0,783,1986,variation_neighborhood,20,0.6230467184870582,0.4541855829999974,157.0,501.0
Biological,56e9e0d7a6d70217090cdfe0,783,1986,variation_edges,100,0.7716380543633763,0.0,783.0,1986.0
Biological,56e9e0d7a6d70217090cdfe0,783,1986,variation_edges,80,0.743809598727395,3.247497249999995,627.0,1765.0
Biological,56e9e0d7a6d70217090cdfe0,783,1986,variation_edges,60,0.7272353812391217,1.9331801670000035,470.0,1510.0
Biological,56e9e0d7a6d70217090cdfe0,783,1986,variation_edges,40,0.703277378097522,1.0370987499999984,314.0,1146.0
Biological,56e9e0d7a6d70217090cdfe0,783,1986,variation_edges,20,0.4660615847207528,0.3695703340000023,157.0,361.0
Biological,Binary_interactomes_various species_2012_E_coli_K12_cocomp_hq,974,2299,variation_neighborhood,100,0.8656110434429557,0.0,974.0,2299.0
Biological,Binary_interactomes_various species_2012_E_coli_K12_cocomp_hq,974,2299,variation_neighborhood,80,0.8361844594959879,4.621245791999996,780.0,1922.0
Biological,Binary_interactomes_various species_2012_E_coli_K12_cocomp_hq,974,2299,variation_neighborhood,60,0.8471773876072751,2.837914708,585.0,1588.0
Biological,Binary_interactomes_various species_2012_E_coli_K12_cocomp_hq,974,2299,variation_neighborhood,40,0.900059829485965,1.5637714159999945,390.0,1376.0
Biological,Binary_interactomes_various species_2012_E_coli_K12_cocomp_hq,974,2299,variation_neighborhood,20,0.8919638349625958,0.6649664170000023,195.0,821.0
Biological,Binary_interactomes_various species_2012_E_coli_K12_cocomp_hq,974,2299,variation_edges,100,0.8629375245188087,0.0,974.0,2299.0
