domain,name,n_nodes,n_edges,level,measure,value,auc
Biological,C_elegans_interactomes_2009_BPmaps_scaffold,345,400,60,spectral_entropy,0.8115588115588116,
Biological,C_elegans_interactomes_2009_BPmaps_scaffold,345,400,40,spectral_entropy,0.95912475307704,
Biological,C_elegans_interactomes_2009_BPmaps_scaffold,345,400,20,spectral_entropy,0.95523765574527,
Biological,C_elegans_interactomes_2009_BPmaps_scaffold,345,400,100,adamic_adar_entropy,0.9901976254204636,0.5125
Biological,C_elegans_interactomes_2009_BPmaps_scaffold,345,400,100,seal_entropy,0.9463876006784544,0.7409375
Biological,C_elegans_interactomes_2009_Genetic,683,1543,100,spectral_entropy,0.7885530711392729,
Biological,C_elegans_interactomes_2009_Genetic,683,1543,80,spectral_entropy,0.774407405091,
Biological,C_elegans_interactomes_2009_Genetic,683,1543,60,spectral_entropy,0.7972319820221513,
Biological,C_elegans_interactomes_2009_Genetic,683,1543,40,spectral_entropy,0.872860155981753,
Biological,C_elegans_interactomes_2009_Genetic,683,1543,20,spectral_entropy,0.8753851057048763,
Biological,C_elegans_interactomes_2009_Genetic,683,1543,100,adamic_adar_entropy,18.36283551016158,0.759750801146905
Biological,C_elegans_interactomes_2009_Genetic,683,1543,100,seal_entropy,0.6943284088839329,0.8802074548827795
Biological,C_elegans_interactomes_2009_LCI_lit,117,123,100,spectral_entropy,0.3145253526496378,
Biological,C_elegans_interactomes_2009_LCI_lit,117,123,80,spectral_entropy,0.2473164448261056,
Biological,C_elegans_interactomes_2009_LCI_lit,117,123,60,spectral_entropy,0.1311546840958605,
Biological,C_elegans_interactomes_2009_LCI_lit,117,123,40,spectral_entropy,0.1442524417731029,
Biological,C_elegans_interactomes_2009_LCI_lit,117,123,20,spectral_entropy,0.7287449392712552,
Biological,C_elegans_interactomes_2009_LCI_lit,117,123,100,adamic_adar_entropy,1.656047115670923,0.4652777777777778
Biological,C_elegans_interactomes_2009_LCI_lit,117,123,100,seal_entropy,0.1125208003966435,0.9826388888888888
Biological,C_elegans_interactomes_2009_WI-2004,1084,1602,100,spectral_entropy,0.7520960965407467,
Biological,C_elegans_interactomes_2009_WI-2004,1084,1602,80,spectral_entropy,0.7339096388192337,
Biological,C_elegans_interactomes_2009_WI-2004,1084,1602,60,spectral_entropy,0.7886218159980078,
